year,region,poverty_rate,employment_rate,total_crime_rate
2018,ncr,3.391356411931199,93.4,1.5792401480513827
2018,car,16.874015748031496,95.9,0.5653543307086614
2018,1,14.487784090909091,93.2,0.887215909090909
2018,2,24.100707449022053,97.0,0.482147315855181
2018,3,10.621244771200406,94.2,0.5451007732285461
2018,4a,11.015847860538825,93.4,0.46605586370839935
2018,4b,22.418537983755378,95.3,0.3246536072623029
2018,5,39.7746170678337,95.1,0.6184050571359105
2018,6,11.954387250412164,94.7,0.5110826158637114
2018,7,18.78885741265345,94.7,1.2165627950897073
2018,8,45.069730586370845,95.8,0.32595879556259905
2018,9,46.310661062285064,95.9,0.5248758119984716
2018,10,33.80929390464695,95.9,0.4089619794809897
2018,11,27.80970042796006,95.7,0.3869614835948645
2018,12,38.37904761904762,96.1,0.5676825396825397
2018,13,43.71034482758621,95.9,0.4959151193633953
2018,barmm,109.91757322175731,96.2,0.09870292887029289
2021,ncr,4.881864054615613,89.4,0.3763925991886812
2021,car,14.750599520383693,94.2,0.15395683453237408
2021,1,21.601115760111576,91.8,0.16675034867503485
2021,2,22.96784565916399,94.0,0.38858520900321547
2021,3,16.550409649522077,92.5,0.25752162039144283
2021,4a,14.860503906592923,89.4,0.2997805284874024
2021,4b,33.23798076923077,92.1,0.1689423076923077
2021,5,46.10302879841113,91.8,0.214175769612711
2021,6,15.035454545454543,93.4,0.18832727272727273
2021,7,32.82954135066811,92.8,0.4404117009750813
2021,8,44.38779342723005,93.4,0.18967136150234742
2021,9,45.03436157750878,96.0,0.19117532213978916
2021,10,38.59762456546929,95.1,0.23076477404403245
2021,11,25.229903978052125,95.2,0.9260082304526749
2021,12,39.12765312310491,94.7,0.1965130382049727
2021,13,50.97058823529411,94.3,0.29667755991285405
2021,barmm,63.93273367227219,90.8,0.0980445834962847
2023,ncr,2.5946362015409683,94.1,0.37122153317438783
2023,car,10.166501560952133,97.2,0.154142070081907
2023,1,18.179361868866735,95.0,0.13196691106814115
2023,2,15.35035625933039,97.6,0.16802112536605163
2023,3,11.55572190012406,95.8,0.1756534477785909
2023,4a,11.35303756384365,94.6,0.26736229807284373
2023,4b,36.06096996827207,96.4,0.180181022116099
2023,5,42.92194449804563,95.2,0.2072668986763039
2023,6,11.892317668334096,95.9,0.21027554583120794
2023,7,20.419656979238216,96.4,0.44611472097872595
2023,8,41.54935992421114,96.2,0.17262005975660116
2023,9,45.98584286482069,96.9,0.19663112474991076
2023,10,36.3113733847931,94.7,0.23119957375551833
2023,11,23.85223983488909,96.9,0.5542569942742857
2023,12,34.68244881355042,96.8,0.15720907954608832
2023,13,31.29626690293034,97.0,0.2747680052405521
2023,barmm,52.76169845785218,96.4,0.08607626863152198
