year,region,population_estimate_15_over,employment_rate,unemployment_rate,poverty_urban,poverty_rural,poverty_urban_rate,poverty_rural_rate,total_poverty,total_poverty_rate,index_crime,nonindex_crime,index_crime_rate,nonindex_crime_rate,total_crime,total_crime_rate,total_crime_solved
2018,ncr,1.9659516513449098,-0.5283018867924485,0.523364485981308,0.024047847779602716,,-0.5186317231299262,,-0.999203082389583,-0.8492859801369296,5.562639464456487,10.046364040583693,0.15948182016111476,1.419758327890268,10.062877519831162,5.924862577598493,38216
2018,car,-0.7293156281920327,0.41509433962264386,-0.41121495327102814,-0.8627475285878088,-0.9747958469113747,-0.7208050333913767,-0.2365745561069458,-1.141376108556263,-0.3249547024068976,-0.17150143449155245,-0.010469299486640528,0.09125984251968504,0.47409448818897637,0.028018339276617423,1.489373171242359,2349
2018,1,0.03677221654749745,-0.6037735849056569,0.5981308411214951,-0.729864575908767,-0.41724976427968835,-0.7293225913857206,-0.34282814099431297,-0.7090373381489578,-0.417753597828721,0.5727340346403145,1.7922713125025265,0.08267045454545455,0.8045454545454545,1.7782548577250563,2.8974347071746163,16012
2018,2,-0.3435478379298604,0.8301886792452823,-0.8224299065420559,-0.7059096966128482,-0.28173953319107403,-0.5519195092849376,0.04018287704307075,-0.6078946021626443,-0.04391367044996517,0.3512910423971948,0.2462912809733619,0.09941739492301291,0.3827299209321681,0.3486645804526599,1.1253639045140755,4541
2018,3,1.5243445692883895,-0.22641509433962,0.22429906542056055,0.28913198425733677,-0.4191906660270513,-0.28046375105466503,-0.6605976603862235,-0.22951227180008335,-0.568120632354912,2.178514504303475,2.438619184283924,0.0847762707567499,0.4603245024717962,2.6350338403318534,1.4007690719370516,15760
2018,4a,2.275791624106231,-0.5283018867924485,0.523364485981308,0.6356875019368434,-0.06096195942853677,-0.27939039980119706,-0.64292138408425,0.17150544316661426,-0.5527747916812518,2.868770587610243,2.634746756134039,0.0823296354992076,0.3837262282091918,2.9297722145404266,1.0549679444275657,22033
2018,4b,-0.4490977187606401,0.18867924528301847,-0.18691588785046723,-0.5662090551303108,-0.6236029091470509,-0.1715479078936432,-0.1563145390745479,-0.7686233796617853,-0.10933207516483462,-0.05759217936457337,-0.06326043898298234,0.06817964644051601,0.2564739608217869,0.0,0.43636947922237834,4511
2018,5,0.2386789240721825,0.11320754716981,-0.11214953271028028,-0.25197558027828565,1.7260130459475405,-0.22599456023701456,0.653144122574118,0.937379822630998,0.5656338121784585,1.43300393156944,1.1601519867415822,0.1199610989545344,0.49844395818137616,1.3565242704315552,1.7214564404257375,8099
2018,6,0.696969696969697,-0.037735849056601545,0.037383177570093316,-0.7837243174563823,-0.06435853748642197,-0.8754077641769398,-0.41250687488459253,-0.5004935040247995,-0.5162756452424909,1.4738072468388057,1.351671449937346,0.09214141784209562,0.4189411980216157,1.5359144167091188,1.2519483920986272,11466
2018,7,0.641130405175349,-0.037735849056601545,0.037383177570093316,0.0595618085469026,0.09038426546242535,-0.12572863422077346,-0.33643296057525196,0.0,-0.2504878371072861,5.132079481457868,3.6080278103399492,0.2575448536355052,0.9590179414542022,4.193435703369478,4.338242536692026,26750
2018,8,-0.08750425604358189,0.37735849056603693,-0.37383177570093445,-0.6020329108432242,1.5032063476309419,-0.5071248041870654,0.9833447329723171,0.6244909597373828,0.7715571072561773,0.5659334820954203,0.10020615222927362,0.09172741679873217,0.23423137876386688,0.25391165126264464,0.44207934199019594,5336
2018,9,-0.27068437180796734,0.41509433962264386,-0.41121495327102814,-0.21382751247327156,0.7637448375873268,0.29074739733019733,0.7889008561196702,0.3174217887510327,0.8198160334657922,1.1265540325151417,0.27264642871579287,0.16098586167367215,0.36388995032479937,0.5051306309584456,1.3122900738630154,5949
2018,10,-0.033367381681988426,0.41509433962264386,-0.41121495327102814,0.24054045678514985,0.2385324136105735,0.65883656887047,0.10236051445800151,0.1836127419083618,0.33364652849389226,0.724046328764212,0.334411253486398,0.09855159927579964,0.3104103802051901,0.49181282293865075,0.8051969008576793,6729
2018,11,0.031664964249233915,0.3396226415094354,-0.33644859813084116,0.4500604295143946,-0.23195981451154893,0.8476793291490604,-0.230957123003148,-0.029449395731738524,0.10032649606756805,0.9471894591435555,0.29277658757427544,0.10815977175463623,0.2788017118402283,0.49254057201077067,0.7089503958091676,8035
2018,12,-0.0892066734763364,0.49056603773584695,-0.4859813084112149,0.40397905110167653,0.31740360279886853,0.9886248566714274,0.20718903824094967,0.31302046396689504,0.5113610834828857,0.751673573477845,0.6791301184364769,0.10574603174603174,0.4619365079365079,0.8068553962593698,1.4995584860606344,8337
2018,13,-0.5199182839632278,0.41509433962264386,-0.41121495327102814,-0.3654591093619263,0.01588010520569699,0.4195503737509206,0.629658729110414,-0.2499396828414134,0.7186915371884762,0.12474763574540432,0.10845224140021828,0.09846153846153846,0.3974535809018568,0.1857943381122189,1.1855945000751482,4706
2018,barmm,-0.34797412325502214,0.5283018867924538,-0.5233644859813084,0.3938609811273978,1.232704194443066,1.220749916291215,1.0457071328623104,0.9150661295393231,1.2879093158626584,-0.2705344809265753,-0.38138162415619065,0.03874476987447698,0.0599581589958159,-0.3228294883924023,-0.5521065633692804,1181
2019,ncr,2.1607082056520257,-0.30188679245282846,0.29906542056074753,,,,,,,4.731696950377218,2.4007841869113546,0.13009838081574093,0.3673601147776184,3.0381340513790844,1.1923463737091726,36843
2019,car,-0.7497446373850868,0.6415094339622639,-0.6355140186915886,,,,,,,-0.5663585166294761,-0.4303730951129795,0.019008264462809916,0.06834710743801653,-0.4175824175824176,-0.6017492034626248,2332
